ISO3,Countries and areas,Region,Sub-region,Income Group,Total
AGO,Angola,SSA,ESA,Lower middle income (LM),0.15
BGD,Bangladesh,SA,SA,Lower middle income (LM),0.34
BOL,Bolivia (Plurinational State of),LAC,LAC,Lower middle income (LM),0.11
CMR,Cameroon,SSA,WCA,Lower middle income (LM),0.04
CIV,C™te d'Ivoire,SSA,WCA,Lower middle income (LM),0.02
DJI,Djibouti,SSA,ESA,Lower middle income (LM),0.04
EGY,Egypt,MENA,MENA,Lower middle income (LM),0.16
GHA,Ghana,SSA,WCA,Lower middle income (LM),0.16
IND,India,SA,SA,Lower middle income (LM),0.07
IDN,Indonesia,EAP,EAP,Lower middle income (LM),0.17
KEN,Kenya,SSA,ESA,Lower middle income (LM),0.3
KIR,Kiribati,EAP,EAP,Lower middle income (LM),0.5
KGZ,Kyrgyzstan,ECA,EECA,Lower middle income (LM),0.72
LAO,Lao People's Democratic Republic,EAP,EAP,Lower middle income (LM),0.01
LSO,Lesotho,SSA,ESA,Lower middle income (LM),0.3
MRT,Mauritania,SSA,WCA,Lower middle income (LM),0.03
MNG,Mongolia,EAP,EAP,Lower middle income (LM),0.37
MAR,Morocco,MENA,MENA,Lower middle income (LM),0.16
NIC,Nicaragua,LAC,LAC,Lower middle income (LM),0.04
NGA,Nigeria,SSA,WCA,Lower middle income (LM),0.03
PAK,Pakistan,SA,SA,Lower middle income (LM),0.08
STP,Sao Tome and Principe,SSA,WCA,Lower middle income (LM),0.44
SEN,Senegal,SSA,WCA,Lower middle income (LM),0.05
SDN,Sudan,SSA,ESA,Lower middle income (LM),0.03
TUN,Tunisia,MENA,MENA,Lower middle income (LM),0.36
UKR,Ukraine,ECA,EECA,Lower middle income (LM),0.73
UZB,Uzbekistan,ECA,EECA,Lower middle income (LM),0.19
VNM,Viet Nam,EAP,EAP,Lower middle income (LM),0.58
ZMB,Zambia,SSA,ESA,Lower middle income (LM),0.06
ZWE,Zimbabwe,SSA,ESA,Lower middle income (LM),0.25
