ISO3,Countries and areas,Region,Sub-region,Income Group,Total
AGOA,Angola,SSA,ESA,Lower middle income (LM),0.24
BGD,Bangladesh,SA,SA,Lower middle income (LM),0.42
CMR,Cameroon,SSA,WCA,Lower middle income (LM),0.07
CIV,C™te d'Ivoire,SSA,WCA,Lower middle income (LM),0.03
DJI,Djibouti,SSA,ESA,Lower middle income (LM),0.09
GHA,Ghana,SSA,WCA,Lower middle income (LM),0.2
IND,India,SA,SA,Lower middle income (LM),0.12
IDN,Indonesia,EAP,EAP,Lower middle income (LM),0.23
KEN,Kenya,SSA,ESA,Lower middle income (LM),0.39
KIR,Kiribati,EAP,EAP,Lower middle income (LM),0.59
KGZ,Kyrgyzstan,ECA,EECA,Lower middle income (LM),0.77
LAO,Lao People's Democratic Republic,EAP,EAP,Lower middle income (LM),0.02
LSO,Lesotho,SSA,ESA,Lower middle income (LM),0.38
MRT,Mauritania,SSA,WCA,Lower middle income (LM),0.04
MNG,Mongolia,EAP,EAP,Lower middle income (LM),0.38
MAR,Morocco,MENA,MENA,Lower middle income (LM),0.19
NIC,Nicaragua,LAC,LAC,Lower middle income (LM),0.04
NGA,Nigeria,SSA,WCA,Lower middle income (LM),0.04
PAK,Pakistan,SA,SA,Lower middle income (LM),0.1
STP,Sao Tome and Principe,SSA,WCA,Lower middle income (LM),0.46
SEN,Senegal,SSA,WCA,Lower middle income (LM),0.07
SDN,Sudan,SSA,ESA,Lower middle income (LM),0.05
TUN,Tunisia,MENA,MENA,Lower middle income (LM),0.45
UKR,Ukraine,ECA,EECA,Lower middle income (LM),1.79
UZB,  Uzbekistan,ECA,EECA,Lower middle income (LM),0.22
VNM,Viet Nam,EAP,EAP,Lower middle income (LM),0.67
ZMB,Zambia,SSA,ESA,Lower middle income (LM),0.07
ZWE,Zimbabwe,SSA,ESA,Lower middle income (LM),0.29
